0	0	0	0
0.182	0.2	0.2	0.2
0.364	0.311	0.311	0.311
0.545	0.367	0.367	0.367
0.727	0.419	0.419	0.419
0.909	0.468	0.468	0.468
1.091	0.514	0.514	0.514
1.273	0.558	0.558	0.558
1.455	0.598	0.598	0.598
1.636	0.636	0.636	0.636
1.818	0.672	0.672	0.672
2	0.705	0.705	0.705
2.182	0.736	0.736	0.736
2.364	0.764	0.764	0.764
2.545	0.791	0.791	0.791
2.727	0.815	0.815	0.815
2.909	0.838	0.838	0.838
3.091	0.858	0.858	0.858
3.273	0.878	0.878	0.878
3.455	0.895	0.895	0.895
3.636	0.911	0.911	0.911
3.818	0.925	0.925	0.925
4	0.938	0.938	0.938
4.182	0.95	0	5
4.364	0.961	0	5
4.545	0.97	0	5
4.727	0.978	0	5
4.909	0.986	0	5
5.091	0.992	0	5
5.273	0.998	0	5
5.455	1	0.6	5
5.636	1	0.6	5
5.818	1	0.6	5
6	1	0.6	5
6.182	1	0.6	5
6.364	1	0.6	5
6.545	1	0.6	5
6.727	1	0.6	5
6.909	1	0.6	5
7.091	1	0.6	5
7.273	1	0.6	5
7.455	1	0.6	5
7.636	1	0.6	5
7.818	1	0.6	5
8	1	0.6	5
8.182	1	0.6	5
8.364	1	0.6	5
8.545	1	0.6	5
8.727	1	0.6	5
8.909	1	0.6	5
9.091	1	0.6	5
9.273	1	0.6	5
9.455	1	0.6	5
9.636	1	0.6	5
9.818	1	0.6	5
10	1	0.6	5
10.182	1	0.6	5
10.364	1	0.6	5
10.545	1	0.6	5
10.727	1	0.6	5
10.909	1	0.6	5
11.091	1	0.6	5
11.273	1	0.6	5
11.455	1	0.6	5
11.636	1	0.6	5
11.818	1	0.6	5
12	1	0.6	5
12.182	1	0.6	5
12.364	1	0.6	5
12.545	1	0.6	5
12.727	1	0.6	5
12.909	0.999	0	5
13.091	0.997	0	5
13.273	0.995	0	5
13.455	0.99	0	5
13.636	0.985	0	5
13.818	0.98	0	5
14	0.975	0	5
14.182	0.97	0	5
14.364	0.964	0	5
14.545	0.959	0	5
14.727	0.954	0	5
14.909	0.948	0	5
15.091	0.942	0	5
15.273	0.934	0	5
15.455	0.926	0	5
15.636	0.917	0	5
15.818	0.907	0	5
16	0.896	0.896	0.896
16.182	0.883	0.883	0.883
16.364	0.87	0.87	0.87
16.545	0.855	0.855	0.855
16.727	0.839	0.839	0.839
16.909	0.822	0.822	0.822
17.091	0.803	0.803	0.803
17.273	0.783	0.783	0.783
17.455	0.76	0.76	0.76
17.636	0.737	0.737	0.737
17.818	0.711	0.711	0.711
18	0	0	0
